Lat,Lon,Times_exceeded
52.178,21.031,3.0
52.228,20.963,3.0
52.182,20.983,3.0
52.121,21.099,3.0
52.248,20.979,3.0
52.158,21.042,3.0
52.23,21.025,3.0
52.249,20.911,3.0
52.392,21.033,3.0
52.19,21.183,3.0
52.194,20.938,3.0
52.136,21.1,3.0
52.244,20.958,3.0
52.357,21.133,3.0
52.146,21.094,3.0
52.204,21.077,3.0
52.193,21.171,3.0
52.193,21.043,3.0
52.194,20.926,3.0
52.308,21.006,3.0
52.228,20.964,3.0
52.24,20.957,3.0
52.093,21.019,3.0
52.225,21.188,3.0
52.179,21.011,3.0
52.394,21.164,3.0
52.189,21.046,3.0
52.288,21.005,3.0
52.307,20.951,3.0
52.172,21.066,3.0
52.166,21.017,3.0
52.162,20.929,3.0
52.265,21.122,3.0
52.257,20.903,3.0
52.255,21.141,3.0
52.152,21.023,3.0
52.181,20.99,3.0
52.186,20.971,3.0
52.215,21.165,3.0
52.275,21.066,3.0
52.302,20.906,3.0
52.216,20.992,3.0
52.307,21.073,3.0
52.252,20.955,3.0
52.292,21.079,3.0
52.241,20.992,2.0
52.204,20.892,2.0
52.385,21.03,2.0
52.316,20.957,2.0
52.258,20.898,2.0
52.233,21.111,2.0
52.118,21.105,2.0
52.225,21.197,2.0
52.151,21.063,2.0
52.227,21.054,2.0
52.248,21.143,2.0
52.259,20.999,2.0
52.222,21.065,2.0
52.181,20.89,2.0
52.265,20.956,2.0
52.217,20.981,2.0
52.24,20.923,2.0
52.325,21.06,2.0
52.306,20.987,2.0
52.228,21.013,2.0
52.156,20.923,2.0
52.19,21.046,2.0
52.288,21.077,2.0
52.1,21.019,2.0
52.152,21.065,2.0
52.265,21.024,2.0
52.275,20.835,2.0
52.266,20.957,2.0
52.26,20.61,2.0
52.189,20.88,2.0
52.161,21.039,2.0
52.24,21.06,2.0
52.182,20.9,2.0
52.224,21.201,2.0
52.251,21.039,2.0
52.196,21.177,2.0
52.16,21.017,2.0
52.291,20.837,2.0
52.225,21.202,2.0
52.373,21.147,2.0
52.241,20.926,2.0
52.269,21.061,2.0
52.217,21.046,2.0
52.063,20.871,2.0
52.309,20.957,2.0
52.258,20.964,2.0
52.233,21.029,2.0
52.242,21.105,2.0
52.164,21.085,2.0
52.39,21.16,2.0
52.251,20.941,2.0
52.109,21.018,2.0
52.26,21.008,2.0
52.227,20.957,2.0
52.291,20.833,2.0
52.221,20.92,2.0
52.221,20.959,2.0
52.389,21.032,2.0
52.277,20.835,2.0
52.205,20.986,2.0
52.226,21.171,2.0
52.308,21.067,2.0
52.1,20.822,2.0
52.207,21.042,2.0
52.236,21.059,2.0
52.295,21.013,2.0
52.178,21.151,2.0
52.084,20.957,2.0
52.234,21.033,2.0
52.3,21.036,2.0
52.294,21.012,2.0
52.114,21.018,2.0
52.282,21.072,2.0
52.252,21.15,2.0
52.216,20.991,2.0
52.156,21.09,2.0
52.217,20.9,2.0
52.24,21.134,2.0
52.192,20.915,2.0
52.185,20.871,2.0
52.241,21.11,2.0
52.265,21.021,2.0
52.251,21.149,2.0
52.211,21.106,2.0
52.21,21.161,2.0
52.077,21.051,2.0
52.31,20.926,2.0
52.253,20.815,2.0
52.085,20.954,2.0
52.226,20.993,2.0
52.216,20.993,2.0
52.155,21.091,2.0
52.413,21.038,2.0
52.296,21.014,2.0
52.254,20.745,2.0
52.042,20.862,2.0
52.131,21.09,2.0
52.258,20.596,2.0
52.166,21.035,2.0
52.19,21.077,2.0
52.219,20.912,2.0
52.267,20.931,2.0
52.128,21.139,2.0
52.319,21.021,2.0
52.235,21.037,2.0
52.181,20.992,2.0
52.104,20.831,2.0
52.178,21.06,2.0
52.253,21.05,2.0
52.204,21.067,2.0
52.261,20.894,2.0
52.129,20.879,2.0
52.208,20.893,2.0
52.255,20.952,2.0
52.316,21.1,2.0
52.186,20.885,2.0
52.216,21.099,2.0
52.215,21.006,2.0
52.177,21.061,2.0
52.314,21.098,2.0
52.276,21.166,2.0
52.332,20.965,2.0
52.225,21.184,2.0
52.251,20.911,2.0
52.192,21.071,2.0
52.082,21.008,2.0
52.239,20.909,2.0
52.241,20.927,2.0
52.178,20.946,2.0
52.284,20.908,2.0
52.26,20.605,2.0
52.225,20.991,2.0
52.219,20.916,2.0
52.207,21.083,2.0
52.291,21.05,2.0
52.235,21.077,2.0
52.226,21.076,2.0
52.212,21.007,2.0
52.261,21.064,2.0
52.152,21.024,2.0
52.219,21.091,2.0
52.168,21.078,2.0
52.205,21.079,2.0
52.257,20.756,2.0
52.371,21.145,2.0
52.305,20.976,2.0
52.291,21.004,2.0
52.27,20.832,2.0
52.277,21.142,2.0
52.284,20.899,2.0
52.198,20.889,2.0
52.109,20.844,2.0
52.199,21.173,2.0
52.117,21.018,2.0
52.259,21.003,2.0
52.222,21.024,2.0
52.261,21.01,2.0
52.137,21.072,2.0
52.382,21.029,2.0
52.188,20.884,2.0
52.227,21.057,2.0
52.198,20.919,2.0
52.281,20.991,2.0
52.259,20.922,2.0
52.234,21.029,2.0
52.211,21.16,2.0
52.311,20.925,2.0
52.154,21.054,2.0
52.284,20.91,2.0
52.078,21.106,2.0
52.212,21.068,2.0
52.17,21.083,2.0
52.085,20.953,2.0
52.25,21.146,2.0
52.297,21.014,2.0
52.229,21.064,2.0
52.235,21.096,2.0
52.263,20.953,2.0
52.226,21.08,2.0
52.299,21.058,2.0
52.223,21.039,2.0
52.214,21.322,2.0
52.224,20.917,2.0
52.221,21.045,2.0
52.226,21.075,2.0
52.222,21.075,2.0
52.087,20.944,2.0
52.203,21.067,2.0
52.096,20.814,2.0
52.296,20.998,2.0
52.223,20.897,2.0
52.253,21.153,2.0
52.257,21.041,2.0
52.102,20.826,2.0
52.224,21.22,2.0
52.373,21.029,2.0
52.119,21.102,2.0
52.307,21.069,2.0
52.33,21.264,2.0
52.222,20.925,2.0
52.305,20.947,2.0
