Lat,Lon,Times_exceeded
52.278,20.974,2.0
52.163,21.084,2.0
52.278,20.976,2.0
52.311,21.095,2.0
52.334,20.97,2.0
52.181,21.056,2.0
52.285,20.89,2.0
52.095,21.019,2.0
52.177,21.061,2.0
52.229,20.912,2.0
52.236,21.092,2.0
52.204,21.073,2.0
52.099,21.131,2.0
52.281,20.992,2.0
52.121,21.204,2.0
52.4,20.944,2.0
52.28,20.981,2.0
52.213,20.989,2.0
52.249,21.144,2.0
52.189,21.185,2.0
52.2,21.056,2.0
52.238,21.118,2.0
52.351,21.128,2.0
52.301,21.04,2.0
52.262,20.829,2.0
52.26,21.006,2.0
52.244,21.096,2.0
52.284,20.968,2.0
52.275,20.995,2.0
52.285,21.074,2.0
52.23,21.138,2.0
52.215,21.101,2.0
52.307,20.984,2.0
52.172,21.019,2.0
52.15,21.062,2.0
52.217,21.099,2.0
52.192,20.947,2.0
52.291,20.832,2.0
52.217,21.005,2.0
52.153,21.068,2.0
52.047,20.979,2.0
52.316,20.958,2.0
52.109,21.018,2.0
52.261,21.091,2.0
52.337,21.029,2.0
52.176,21.039,2.0
52.348,21.126,2.0
52.182,21.135,2.0
52.279,20.977,2.0
52.247,20.933,2.0
52.181,20.889,2.0
52.272,21.07,2.0
52.249,21.138,2.0
52.246,21.008,2.0
52.392,21.033,2.0
52.18,21.138,2.0
52.141,21.018,2.0
52.304,21.009,2.0
52.361,20.835,2.0
52.182,20.986,2.0
52.211,21.106,2.0
52.179,21.14,2.0
52.295,21.015,2.0
52.302,21.043,2.0
52.13,21.084,2.0
52.317,20.957,2.0
52.322,20.957,2.0
52.195,21.041,2.0
52.358,21.134,2.0
52.122,21.018,2.0
52.259,21.045,2.0
52.264,20.99,2.0
52.296,21.02,2.0
52.121,21.099,2.0
52.197,20.983,2.0
52.081,20.771,2.0
52.276,20.995,2.0
52.141,21.098,2.0
52.236,21.039,2.0
52.272,21.143,2.0
52.368,21.142,2.0
52.214,21.047,2.0
52.234,21.009,2.0
52.26,21.007,2.0
52.378,20.795,2.0
52.19,20.891,2.0
52.36,21.029,2.0
52.271,21.144,2.0
52.246,21.011,2.0
52.218,21.024,2.0
52.252,21.064,2.0
52.217,21.023,2.0
52.233,21.026,2.0
52.316,21.009,2.0
52.353,21.029,2.0
52.303,20.906,2.0
52.321,21.025,2.0
52.213,20.914,2.0
52.31,20.99,2.0
52.109,20.889,2.0
52.181,21.002,2.0
52.112,21.111,2.0
52.15,21.034,2.0
52.256,21.039,2.0
52.204,21.071,2.0
52.222,20.925,2.0
52.261,20.994,2.0
52.347,21.029,2.0
52.237,21.099,2.0
52.223,21.005,2.0
52.182,21.077,2.0
52.266,21.029,2.0
52.229,20.957,2.0
52.158,21.176,2.0
52.314,21.003,2.0
52.29,20.999,2.0
52.246,21.137,2.0
52.125,20.997,2.0
52.34,20.969,2.0
52.176,20.867,2.0
52.295,20.932,2.0
52.338,21.047,2.0
52.182,21.217,2.0
52.226,21.049,2.0
52.333,21.047,2.0
52.147,21.093,2.0
52.165,21.017,2.0
52.262,21.051,2.0
52.161,21.105,2.0
52.199,20.916,2.0
52.304,20.945,2.0
52.3,21.035,2.0
52.24,21.051,2.0
52.163,20.986,2.0
52.248,21.018,2.0
52.286,21.008,2.0
52.311,20.962,2.0
52.085,20.954,2.0
52.266,21.021,2.0
52.293,20.932,2.0
52.247,21.21,2.0
52.187,21.129,2.0
52.315,21.007,2.0
52.268,21.036,2.0
52.355,21.131,2.0
52.227,21.098,2.0
52.107,21.113,2.0
52.18,21.073,2.0
52.236,21.079,2.0
52.169,21.0,2.0
52.45,21.007,2.0
52.29,21.049,2.0
52.134,21.1,2.0
52.234,21.224,2.0
52.341,21.053,2.0
52.133,21.018,2.0
52.151,21.092,2.0
52.285,21.073,2.0
52.239,21.132,2.0
52.11,20.845,2.0
52.131,21.086,2.0
52.124,20.952,2.0
52.245,21.092,2.0
52.211,20.782,2.0
52.267,21.059,2.0
52.144,21.096,2.0
52.331,20.941,2.0
52.049,20.937,2.0
52.307,21.065,2.0
